2.850931,-0.373826,0.000000,3.000000,1.000000,1698107993.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698107994.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698107995.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108012.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108013.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108014.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108015.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108016.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108017.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108018.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108019.000000
2.850931,-0.373826,0.000000,3.000000,1.000000,1698108020.000000
2.938681,-0.373826,0.000000,3.000000,1.000000,1698108021.000000
3.370380,-0.300807,0.360661,3.000000,1.000000,1698108022.000000
3.791073,-0.141677,0.361629,3.000000,1.000000,1698108023.000000
4.211965,0.017531,0.361629,3.000000,1.000000,1698108024.000000
4.674949,0.192661,0.361629,3.000000,1.000000,1698108025.000000
5.030372,0.327104,0.361629,3.000000,1.000000,1698108026.000000
5.413854,0.472161,0.361629,3.000000,1.000000,1698108027.000000
5.731863,0.592453,0.361629,3.000000,1.000000,1698108028.000000
6.101315,0.732203,0.361629,3.000000,1.000000,1698108029.000000
6.480121,0.875491,0.361629,3.000000,1.000000,1698108030.000000
6.886986,1.029393,0.361629,3.000000,1.000000,1698108031.000000
7.326587,1.195678,0.361629,3.000000,1.000000,1698108032.000000
7.742805,1.353118,0.361629,3.000000,1.000000,1698108033.000000
8.149670,1.507020,0.361629,3.000000,1.000000,1698108034.000000
8.561212,1.662692,0.361629,3.000000,1.000000,1698108035.000000
8.986783,1.823670,0.361629,3.000000,1.000000,1698108036.000000
9.431061,1.991724,0.361629,3.000000,1.000000,1698108037.000000
9.856632,2.152702,0.361629,3.000000,1.000000,1698108038.000000
10.291557,2.317218,0.361629,3.000000,1.000000,1698108039.000000
10.735835,2.485272,0.361629,3.000000,1.000000,1698108040.000000
11.184790,2.655095,0.361629,3.000000,1.000000,1698108041.000000
11.619714,2.819611,0.361629,3.000000,1.000000,1698108042.000000
12.054639,2.984127,0.361629,3.000000,1.000000,1698108043.000000
12.498917,3.152181,0.361629,3.000000,1.000000,1698108044.000000
12.919812,3.311390,0.361629,3.000000,1.000000,1698108045.000000
13.350060,3.474137,0.361629,3.000000,1.000000,1698108046.000000
13.770954,3.633346,0.361629,3.000000,1.000000,1698108047.000000
14.215232,3.801401,0.361629,3.000000,1.000000,1698108048.000000
14.636127,3.960610,0.361629,3.000000,1.000000,1698108049.000000
15.047669,4.116281,0.361629,3.000000,1.000000,1698108050.000000
15.435459,4.287768,0.571569,3.000000,1.000000,1698108051.000000
15.779240,4.619646,0.857525,3.000000,1.000000,1698108052.000000
16.096581,4.986416,0.857525,3.000000,1.000000,1698108053.000000
16.387749,5.322936,0.857525,3.000000,1.000000,1698108054.000000
16.695256,5.678379,0.861412,3.000000,1.000000,1698108055.000000
16.916136,6.088841,1.300263,3.000000,1.000000,1698108056.000000
16.947547,6.490119,1.685092,3.000000,1.000000,1698108057.000000
16.811848,6.900281,2.066067,3.000000,1.000000,1698108058.000000
16.588471,7.313806,2.066067,3.000000,1.000000,1698108059.000000
16.360342,7.736129,2.066067,3.000000,1.000000,1698108060.000000
16.153599,8.118859,2.066067,3.000000,1.000000,1698108061.000000
15.927846,8.536783,2.066067,3.000000,1.000000,1698108062.000000
15.713975,8.932711,2.066067,3.000000,1.000000,1698108063.000000
15.492974,9.341837,2.066067,3.000000,1.000000,1698108064.000000
15.271974,9.750963,2.066067,3.000000,1.000000,1698108065.000000
15.041468,10.177685,2.066067,3.000000,1.000000,1698108066.000000
14.820467,10.586811,2.066067,3.000000,1.000000,1698108067.000000
14.599489,10.995948,2.062180,3.000000,1.000000,1698108068.000000
14.441637,11.416655,1.893236,3.000000,1.000000,1698108069.000000
14.295872,11.852949,1.893236,3.000000,1.000000,1698108070.000000
14.140600,12.317696,1.893236,3.000000,1.000000,1698108071.000000
13.991666,12.763475,1.893236,3.000000,1.000000,1698108072.000000
13.839562,13.218738,1.893236,3.000000,1.000000,1698108073.000000
13.698550,13.640805,1.893236,3.000000,1.000000,1698108074.000000
13.551200,14.081841,1.893236,3.000000,1.000000,1698108075.000000
13.399097,14.537105,1.893236,3.000000,1.000000,1698108076.000000
13.253331,14.973399,1.893236,3.000000,1.000000,1698108077.000000
13.105981,15.414435,1.893236,3.000000,1.000000,1698108078.000000
12.949125,15.883925,1.893236,3.000000,1.000000,1698108079.000000
12.797022,16.339188,1.893236,3.000000,1.000000,1698108080.000000
12.644003,16.799409,1.859081,3.000000,1.000000,1698108081.000000
12.608790,17.229882,1.445747,3.000000,1.000000,1698108082.000000
12.752023,17.642533,1.027662,3.000000,1.000000,1698108083.000000
13.058685,17.967173,0.600075,3.000000,1.000000,1698108084.000000
13.486429,18.141257,0.238104,3.000000,1.000000,1698108085.000000
13.948028,18.253291,0.238104,3.000000,1.000000,1698108086.000000
14.404767,18.364145,0.238104,3.000000,1.000000,1698108087.000000
14.853737,18.499175,0.457546,3.000000,1.000000,1698108088.000000
15.293516,18.726370,0.477448,3.000000,1.000000,1698108089.000000
15.724278,18.949234,0.477448,3.000000,1.000000,1698108090.000000
16.141719,19.165206,0.477448,3.000000,1.000000,1698108091.000000
16.576922,19.390367,0.477448,3.000000,1.000000,1698108092.000000
17.012126,19.615529,0.477448,3.000000,1.000000,1698108093.000000
17.438448,19.836096,0.477448,3.000000,1.000000,1698108094.000000
17.855888,20.052068,0.477448,3.000000,1.000000,1698108095.000000
18.295537,20.279517,0.475264,3.000000,1.000000,1698108096.000000
18.730713,20.399783,0.053714,3.000000,1.000000,1698108097.000000
19.200670,20.397732,-0.008947,3.000000,1.000000,1698108098.000000
19.677529,20.359952,-0.261646,3.000000,1.000000,1698108099.000000
20.089892,20.142675,-0.708237,3.000000,1.000000,1698108100.000000
20.368036,19.768639,-1.147088,3.000000,1.000000,1698108101.000000
20.571859,19.312068,-1.150975,3.000000,1.000000,1698108102.000000
20.771581,18.864619,-1.150975,3.000000,1.000000,1698108103.000000
20.975380,18.408038,-1.150975,3.000000,1.000000,1698108104.000000
21.166951,17.978852,-1.150975,3.000000,1.000000,1698108105.000000
21.368711,17.526837,-1.150975,3.000000,1.000000,1698108106.000000
21.568434,17.079388,-1.150975,3.000000,1.000000,1698108107.000000
21.766119,16.636504,-1.150975,3.000000,1.000000,1698108108.000000
21.961765,16.198187,-1.150975,3.000000,1.000000,1698108109.000000
22.157412,15.759869,-1.150975,3.000000,1.000000,1698108110.000000
22.359173,15.307854,-1.150975,3.000000,1.000000,1698108111.000000
22.552781,14.874102,-1.150975,3.000000,1.000000,1698108112.000000
22.744352,14.444916,-1.150975,3.000000,1.000000,1698108113.000000
22.923348,14.005617,-1.322908,3.000000,1.000000,1698108114.000000
22.941147,13.574074,-1.736242,3.000000,1.000000,1698108115.000000
22.759135,13.122609,-2.083961,3.000000,1.000000,1698108116.000000
22.552942,12.756707,-2.083961,3.000000,1.000000,1698108117.000000
22.322202,12.347245,-2.083961,3.000000,1.000000,1698108118.000000
22.093916,11.942140,-2.083961,3.000000,1.000000,1698108119.000000
21.872995,11.550102,-2.083961,3.000000,1.000000,1698108120.000000
21.620789,11.173379,-2.341411,3.000000,1.000000,1698108121.000000
21.291181,10.852513,-2.370815,3.000000,1.000000,1698108122.000000
20.971952,10.542485,-2.370815,3.000000,1.000000,1698108123.000000
20.645549,10.225489,-2.370815,3.000000,1.000000,1698108124.000000
20.322733,9.911977,-2.370815,3.000000,1.000000,1698108125.000000
20.003504,9.601948,-2.370815,3.000000,1.000000,1698108126.000000
19.669928,9.277986,-2.370815,3.000000,1.000000,1698108127.000000
19.638515,9.247479,-2.370815,3.000000,1.000000,1698108128.000000
19.638515,9.247479,-2.370815,3.000000,1.000000,1698108129.000000
19.638515,9.247479,-2.370815,3.000000,1.000000,1698108130.000000
19.638515,9.247479,-2.370815,3.000000,1.000000,1698108131.000000
19.638515,9.247479,-2.370815,3.000000,1.000000,1698108132.000000
19.638515,9.247479,-2.370815,3.000000,1.000000,1698108133.000000
19.638515,9.247479,-2.370815,3.000000,1.000000,1698108134.000000